"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"File","Properties","Alt+Enter","In Windows"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"File","Close","Ctrl+W","In Windows"
"Window","Activate Editor","F12","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Next Page","Alt+F7","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Edit","Delete","Delete","In Windows"
"File","New","Ctrl+N","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"File","Rename","F2","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Git","Commit...","Ctrl+#","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"View","Zoom In","Ctrl+=","In Windows"
"Source","Snipmatch Snippet Completion","Ctrl+Alt+Space","Editing Java Source"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"WindowBuilder Pro","Empty command","Ctrl+Shift+A","WindowBuilder Java scope"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"File","Save All","Ctrl+Shift+S","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"File","Close","Ctrl+F4","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"File","Refresh","F5","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"File","Print","Ctrl+P","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Search","Find Text in Workspace","Ctrl+Alt+T","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
